PACE_NUMBER,PACE_NAME,STATUS,PROGRAM,SUB_PROGRAM,FORECAST_YEAR,SOURCE_JOB_NUMBER,RAN_REGION,MARKET,SUBMARKET,LATITUDE,LONGITUDE,PRODUCT_GROUP,PRODUCT_SUBGROUP,NATIONAL_PROGRAM,USID,FA_LOCATION_CODE,CURRENT_NEED_BY_DATE,ONAIR_PLAN,ONAIR_FORECAST,ONAIR_ACTUAL,ROW_NUM
MRNTX046919,FT. HOOD- CARL R. DARNALL ARMY MED. CENTER (Carrier Add),Active,IB ALL,IB-LTE Next Carrier,2020,CR_-RNTX-18-13366,CENTRAL,NORTH TEXAS,CENTRAL TEXAS,31.127556,-97.77649,LTE Next Carrier,iDAS,IB-LTE Next Carrier,171414,13709299,11-29-2019,null,06-30-2020,null,237
MRNTX044597,Dallas Star - DAS MOD,Active,IB ALL,IB-DAS Modification,2020,CR_-RNTX-18-08612,CENTRAL,NORTH TEXAS,DALLAS FT. WORTH,33.109905,-96.830669,DAS Modification,Other MOD,IB-DAS Modification,172370,13732696,08-30-2019,null,06-30-2020,null,223
MRNTX021391,Texas Live! (Globe Life Ballpark Arlington TX),Active,IB ALL,IB-New Site,2020,CR_-RNTX-16-00394,CENTRAL,NORTH TEXAS,DALLAS FT. WORTH,32.749134,-97.085114,New Site,iDAS,IB-New Site,190226,13763724,12-31-2019,null,06-30-2020,null,181
MRNTX041291,Texas Live Hotel - Project Split DAS MOD,Active,IB ALL,IB-DAS Modification,2020,CR_-RNTX-18-04800,CENTRAL,NORTH TEXAS,DALLAS FT. WORTH,32.749134,-97.085114,DAS Modification,Other MOD,IB-DAS Modification,190226,13763724,07-31-2019,null,06-30-2020,null,209
MRUMW015027,University of Minnesota - Mariucci Arena (Big 10 Ice Hockey Super Bowl 2018),Active,IB ALL,IB-New Site,2020,CR_-RUMW-16-00310,CENTRAL,NORTHERN PLAINS,MINNESOTA,44.9776667,-93.2669694,New Site,iDAS,IB-New Site,185034,13763726,12-31-2018,null,01-31-2020,null,330
MRIND035795,Beaumont Hospital (Carrier Add),Active,IB ALL,IB-LTE Next Carrier,2020,NER-RIND-18-06952,CENTRAL,MICHIGAN/INDIANA,DETROIT,42.290726,-83.214,LTE Next Carrier,iDAS,IB-LTE Next Carrier,171977,13786450,08-30-2019,null,02-03-2020,null,135
MRIND035786,GM Flint Assembly (Carrier Add),Active,IB ALL,IB-LTE Next Carrier,2020,NER-RIND-18-06949,CENTRAL,MICHIGAN/INDIANA,DETROIT,42.98546,-83.71706,LTE Next Carrier,iDAS,IB-LTE Next Carrier,172389,13837717,01-31-2019,null,02-28-2020,null,131
MRSTX038917,Minute Maid Park (Carrier Add),Active,IB ALL,IB-LTE Next Carrier,2020,CR_-RSTX-18-01757,CENTRAL,SOUTH TEXAS,HOUSTON,29.749015,-95.36591,LTE Next Carrier,iDAS,IB-LTE Next Carrier,171861,13857868,12-31-2018,null,05-06-2020,null,288
MRSTX041693,MINUTE MAID PARK (Sprint Tenant MOD) 1st AMD,Active,IB ALL,IB-Neutral Host Tenant Add,2020,CR_-RSTX-18-04197,CENTRAL,SOUTH TEXAS,HOUSTON,29.749015,-95.36591,Neutral Host Tenant Add,iDAS,IB-Neutral Host Tenant Add,171861,13857868,12-31-2019,null,05-18-2020,null,296
MRNTX044543,HCA - MEDICAL CITY DALLAS (Carrier Add),Active,IB ALL,IB-LTE Next Carrier,2020,CR_-RNTX-18-08610,CENTRAL,NORTH TEXAS,DALLAS FT. WORTH,32.911653,-96.773996,LTE Next Carrier,iDAS,IB-LTE Next Carrier,172084,13864724,11-29-2019,null,06-30-2020,null,226
MRSTX024821,ASG ISE NSB POD TOSHIBA AMERICA,Active,IB ALL,IB-New Site,2020,CR_-RSTX-16-03460,CENTRAL,SOUTH TEXAS,HOUSTON,29.861374,-95.605403,New Site,ISE,IB-New Site,172631,13866625,12-29-2017,null,12-31-2020,null,271
MRUMW024363,HB FULLER ISE (FSM4 Swap) - DAS MOD,Active,IB ALL,IB-DAS Modification,2020,CR_-RUMW-18-02462,CENTRAL,NORTHERN PLAINS,MINNESOTA,45.0454639,-93.0512111,DAS Modification,ALU to Nokia FSM4 Swap,IB-DAS Modification,178485,14147254,12-31-2018,null,01-31-2020,null,350
MRSTX028159,ASG ISE NSB POD MITSUBISHI HEAVY INDUSTRIES,Active,IB ALL,IB-New Site,2020,CR_-RSTX-17-00002,CENTRAL,SOUTH TEXAS,HOUSTON,null,null,New Site,ISE,IB-New Site,null,14193511,12-29-2017,null,12-31-2020,null,272
MRCHI034262,ZEBRA TECHNOLOGIES (ERICSSON HET-NET) ISE NSB,Active,IB ALL,IB-New Site,2020,CR_-RCHI-18-00101,CENTRAL,ILLINOIS/WISCONSIN,CHICAGO,null,null,New Site,ISE,IB-New Site,null,14220776,12-31-2018,null,12-31-2020,null,33
MRKSL026104,AMSTEAD RAILS COMPANY ISE SMALL CELL,Active,IB ALL,IB-Small Cell,2020,CR_-RKSL-18-03111,CENTRAL,GREATER MIDWEST,ST. LOUIS,38.702593,-90.159037,Small Cell,Indoor MultiStandard (UC2),IB-Small Cell,182877,14235729,12-31-2018,null,03-25-2020,null,154
MRSTX047857,TECHNIP FMC HOUSTON ISE NSB,Active,IB ALL,IB-New Site,2020,CR_-RSTX-18-11358,CENTRAL,SOUTH TEXAS,HOUSTON,null,null,New Site,ISE,IB-New Site,null,14241381,12-31-2019,null,10-25-2020,null,327
MRIND033649,Ford Field - Additional 4 Field Level Zones,Active,IB ALL,IB-DAS Modification,2020,NER-RIND-18-04451,CENTRAL,MICHIGAN/INDIANA,DETROIT,42.332398,-83.054203,DAS Modification,Other MOD,IB-DAS Modification,185064,14270542,12-31-2018,null,01-31-2020,null,111
MRCHI034368,McDonalds Headquarters (Sprint Tenant Add),Active,IB ALL,IB-Neutral Host Tenant Add,2020,CR_-RCHI-18-01593,CENTRAL,ILLINOIS/WISCONSIN,CHICAGO,41.88351,-87.653467,Neutral Host Tenant Add,iDAS,IB-Neutral Host Tenant Add,193221,14270607,12-31-2018,null,12-31-2020,null,39
MROAR028029,VALLEY VIEW HIGH SCHOOL DAS (Carrier Add),Active,IB ALL,IB-LTE Next Carrier,2020,CR_-ROAR-18-05449,CENTRAL,ARKANSAS/OKLAHOMA,ARKANSAS,35.769616,-90.739242,LTE Next Carrier,iDAS,IB-LTE Next Carrier,184393,14280835,12-31-2019,null,01-17-2020,null,269
MRKSL024449,TUKH - Campus Wide (KU Med Center),Active,IB ALL,IB-DAS Modification,2020,CR_-RKSL-17-05673,CENTRAL,GREATER MIDWEST,KANSAS CITY,39.058128,-94.607888,DAS Modification,Other MOD,IB-DAS Modification,193993,14314877,12-31-2020,null,06-30-2020,null,147
MRUMW024367,WEST DES MOINES STORE (FSM4 Swap) - DAS MOD,Active,IB ALL,IB-DAS Modification,2020,CR_-RUMW-18-02464,CENTRAL,NORTHERN PLAINS,IOWA,41.562652,-93.799352,DAS Modification,ALU to Nokia FSM4 Swap,IB-DAS Modification,191126,14318446,12-31-2018,null,01-31-2020,null,351
MRSTX031398,UT ROWLING HALL (VENUE PAID),Active,IB ALL,IB-New Site,2020,CR_-RSTX-17-08222,CENTRAL,SOUTH TEXAS,AUSTIN,30.28244,-97.740342,New Site,iDAS,IB-New Site,200826,14323113,12-31-2018,null,08-06-2020,null,277
